paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,Unnamed: 5_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,Unnamed: 5_df2,jaccard_similarity,ID
5390972920f70186a0dfac8a,Holistic UDAFs at streaming speeds,"Graham Cormode, Theodore Johnson, Flip Korn, S. Muthukrishnan, Oliver Spatscheck, Divesh Srivastava",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,,53e9a91ab7602d970326be48,Holistic UDAFs at streaming speeds.,"Graham Cormode, Theodore Johnson, Flip Korn, S. Muthukrishnan, Oliver Spatscheck, Divesh Srivastava",SIGMOD Conference,2004,,0.6666666666666666,5390972920f70186a0dfac8a53e9a91ab7602d970326be48Holistic UDAFs at streaming speedsHolistic UDAFs at streaming speeds.
5390972920f70186a0dfaca1,Conditional selectivity for statistics on query expressions,"Nicolas Bruno, Surajit Chaudhuri",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,,53e9b30ab7602d9703dd20e6,Exploiting statistics on query expressions for optimization.,"Nicolas Bruno, Surajit Chaudhuri",SIGMOD Conference,2002,,0.5555555555555556,5390972920f70186a0dfaca153e9b30ab7602d9703dd20e6Conditional selectivity for statistics on query expressionsExploiting statistics on query expressions for optimization.
5390972920f70186a0dfacad,Computing Clusters of Correlation Connected objects,"Christian Böhm, Karin Kailing, Peer Kröger, Arthur Zimek",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,,53e9a455b7602d9702d724e6,Computing Clusters of Correlation Connected Objects.,"Christian Böhm, Karin Kailing, Peer Kröger, Arthur Zimek",SIGMOD Conference,2004,,0.7142857142857143,5390972920f70186a0dfacad53e9a455b7602d9702d724e6Computing Clusters of Correlation Connected objectsComputing Clusters of Correlation Connected Objects.
5390972920f70186a0dfaca2,Transaction support for indexed summary views,"Goetz Graefe, Michael Zwilling",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,,53e9b5f3b7602d9704146102,Transaction support for indexed views.,"Goetz Graefe, Michael J. Zwilling",SIGMOD Conference,2004,,0.5714285714285714,5390972920f70186a0dfaca253e9b5f3b7602d9704146102Transaction support for indexed summary viewsTransaction support for indexed views.
5390972920f70186a0dfacc2,Spatially-decaying aggregation over a network: model and algorithms,"Edith Cohen, Haim Kaplan",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,,53e9b4a5b7602d9703fb482d,Spatially-decaying aggregation over a network: model and algorithms.,"Edith Cohen, Haim Kaplan",SIGMOD Conference,2004,,0.7777777777777778,5390972920f70186a0dfacc253e9b4a5b7602d9703fb482dSpatially-decaying aggregation over a network: model and algorithmsSpatially-decaying aggregation over a network: model and algorithms.
5390972920f70186a0dfaccd,Query sampling in DB2 Universal Database,"Jarek Gryz, Junjie Guo, Linqi Liu, Calisto Zuzarte",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,,53e9ba4eb7602d9704662886,Heterogeneous Database Query Optimization in DB2 Universal DataJoiner.,"Shivakumar Venkataraman, Tian Zhang",VLDB,1998,,0.5555555555555556,5390972920f70186a0dfaccd53e9ba4eb7602d9704662886Query sampling in DB2 Universal DatabaseHeterogeneous Database Query Optimization in DB2 Universal DataJoiner.
5390972920f70186a0dfacc5,Efficient set joins on similarity predicates,"Sunita Sarawagi, Alok Kirpal",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,,53e99ef4b7602d97027c1f5f,Efficient set joins on similarity predicates.,"Sunita Sarawagi, Alok Kirpal",SIGMOD Conference,2004,,0.7142857142857143,5390972920f70186a0dfacc553e99ef4b7602d97027c1f5fEfficient set joins on similarity predicatesEfficient set joins on similarity predicates.
5390972920f70186a0dfacdd,XML in the middle: XQuery in the WebLogic Platform,Michael J. Carey,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,,53e99cdfb7602d9702592a9f,XML in the Middle: XQuery in the WebLogic Platform.,Michael J. Carey,SIGMOD Conference,2004,,0.5555555555555556,5390972920f70186a0dfacdd53e99cdfb7602d9702592a9fXML in the middle: XQuery in the WebLogic PlatformXML in the Middle: XQuery in the WebLogic Platform.
5390972920f70186a0dfacdc,Service-oriented BI: towards tight integration of business intelligence into operational applications,"Marcus Dill, Achim Kraiss, Stefan Sigg, Thomas Zurek",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,,53e9a3d4b7602d9702ce7a34,Service-Oriented BI: Towards tight integration of business intelligence into operational applications.,"Marcus Dill, Achim Kraiss, Stefan Sigg, Thomas Zurek",SIGMOD Conference,2004,,0.5714285714285714,5390972920f70186a0dfacdc53e9a3d4b7602d9702ce7a34Service-oriented BI: towards tight integration of business intelligence into operational applicationsService-Oriented BI: Towards tight integration of business intelligence into operational applications.
5390972920f70186a0dfacd1,Hosting the .NET Runtime in Microsoft SQL server,"Alazel Acheson, Mason Bendixen, José A. Blakeley, Peter Carlin, Ebru Ersan, Jun Fang, Xiaowei Jiang, Christian Kleinerman, Balaji Rathakrishnan, Gideon Schaller, Beysim Sezgin, Ramachandran Venkatesh, Honggang Zhang",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,,53e9b565b7602d970409df92,Hosting the .NET Runtime in Microsoft SQL Server.,"Alazel Acheson, Mason Bendixen, José A. Blakeley, Peter Carlin, Ebru Ersan, Jun Fang, Xiaowei Jiang, Christian Kleinerman, Balaji Rathakrishnan, Gideon Schaller, Beysim Sezgin, Ramachandran Venkatesh, Honggang Zhang",SIGMOD Conference,2004,,0.7777777777777778,5390972920f70186a0dfacd153e9b565b7602d970409df92Hosting the .NET Runtime in Microsoft SQL serverHosting the .NET Runtime in Microsoft SQL Server.
