paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,bucket_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,bucket_df2,similarity_score,ID
53909f8c20f70186a0e3fe24,the datacentric revolution in networking,scott shenker,vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b19cb7602d9703c2527c,the datacentric revolution in networking,scott shenker,vldb,2003,0,1.0,53909f8c20f70186a0e3fe2453e9b19cb7602d9703c2527c
53909f8c20f70186a0e3fe26,complex queries over web repositories,"sriram raghavan, hector garciamolina",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9ac7bb7602d97036520a3,complex queries over web repositories,"sriram raghavan, hector garciamolina",vldb,2003,0,1.0,53909f8c20f70186a0e3fe2653e9ac7bb7602d97036520a3
53909f8c20f70186a0e3fe22,a nanotechnologybased approach to data storage,"e eleftheriou, p bächtold, g cherubini, a dholakia, c hagleitner, t loeliger, a pantazi, h pozidis, t r albrecht, g k binnig, m despont, u drechsler, u dürig, b gotsmann, d jubin, w häberle, m a lantz, h rothuizen, r stutz, p vettiger, d wiesmann",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9ab32b7602d97034bc87f,a nanotechnologybased approach to data storage,"evangelos eleftheriou, peter bächtold, giovanni cherubini, ajay dholakia, christoph hagleitner, t loeliger, aggeliki pantazi, haralampos pozidis, t r albrecht, gerd karl binnig, michel despont, ute drechsler, urs dürig, bernd gotsmann, daniel jubin, walter häberle, mark a lantz, hugo e rothuizen, richard stutz, peter vettiger, dorothea wiesmann",vldb,2003,0,1.0,53909f8c20f70186a0e3fe2253e9ab32b7602d97034bc87f
53909f8c20f70186a0e3fe23,integrating information for on demand computing,nelson mendonça mattos,vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9bcefb7602d9704975d7f,integrating information for on demand computing,nelson mendonça mattos,vldb,2003,0,1.0,53909f8c20f70186a0e3fe2353e9bcefb7602d9704975d7f
53909f8c20f70186a0e3fe2d,distributed topn query processing with possibly uncooperative local systems,"clement yu, george philip, weiyi meng",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e99eb5b7602d970277e6a0,distributed topn query processing with possibly uncooperative local systems,"clement t yu, george philip, weiyi meng",vldb,2003,0,1.0,53909f8c20f70186a0e3fe2d53e99eb5b7602d970277e6a0
53909f8c20f70186a0e3fe30,on the minimization of xpath queries,"s flesca, f furfaro, e masciari",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9af94b7602d97039dd19b,on the minimization of xpath queries,"sergio flesca, filippo furfaro, elio masciari",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3053e9af94b7602d97039dd19b
53909f8c20f70186a0e3fe29,efficient mining of xml query patterns for caching,"liang huai yang, mong li lee, wynne hsu",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b607b7602d970415f830,efficient mining of xml query patterns for caching,"liang huai yang, mongli lee, wynne hsu",vldb,2003,0,1.0,53909f8c20f70186a0e3fe2953e9b607b7602d970415f830
53909f8c20f70186a0e3fe32,phrase matching in xml,"sihem ameryahia, mary fernández, divesh srivastava, yu xu",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e99b36b7602d97023d297b,phrase matching in xml,"sihem ameryahia, mary f fernández, divesh srivastava, yu xu",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3253e99b36b7602d97023d297b
53909f8c20f70186a0e3fe28,an efficient and resilient approach to filtering and disseminating streaming data,"shetal shah, shyamshankar dharmarajan, krithi ramamritham",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9bc9eb7602d970491e13e,an efficient and resilient approach to filtering and disseminating streaming data,"shetal shah, shyamshankar dharmarajan, krithi ramamritham",vldb,2003,0,1.0,53909f8c20f70186a0e3fe2853e9bc9eb7602d970491e13e
53909f8c20f70186a0e3fe2b,a regressionbased temporal pattern mining scheme for data streams,"weiguang teng, mingsyan chen, philip s yu",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a86ab7602d97031b90c7,a regressionbased temporal pattern mining scheme for data streams,"weiguang teng, mingsyan chen, philip s yu",vldb,2003,0,1.0,53909f8c20f70186a0e3fe2b53e9a86ab7602d97031b90c7
