paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,index_df1,key,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,index_df2,common_authors,num_authors_df1,num_authors_df2,similarity_score,ID
5390972920f70186a0dfac85,the next database revolution,jim gray,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,0,1,53e99aecb7602d9702373cec,the next database revolution,jim gray,sigmod conference,2004,4852,{'jim gray'},1,1,1.0,5390972920f70186a0dfac8553e99aecb7602d9702373cecthe next database revolutionthe next database revolution
5390972920f70186a0dfac8d,tree logical classes for efficient evaluation of xquery,"stelios paparizos, yuqing wu, laks v s lakshmanan, h v jagadish",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,2,1,53e9a146b7602d9702a3924a,tree logical classes for efficient evaluation of xquery,"stelios paparizos, yuqing wu, laks v s lakshmanan, h v jagadish",sigmod conference,2004,4214,"{'yuqing wu', 'stelios paparizos', 'laks v s lakshmanan', 'h v jagadish'}",4,4,1.0,5390972920f70186a0dfac8d53e9a146b7602d9702a3924atree logical classes for efficient evaluation of xquerytree logical classes for efficient evaluation of xquery
5390972920f70186a0dfac88,adaptive stream resource management using kalman filters,"ankur jain, edward y chang, yuanfang wang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,3,1,53e9a32eb7602d9702c39d26,adaptive stream resource management using kalman filters,"ankur jain, edward y chang, yuanfang wang",sigmod conference,2004,4349,"{'edward y chang', 'ankur jain', 'yuanfang wang'}",3,3,1.0,5390972920f70186a0dfac8853e9a32eb7602d9702c39d26adaptive stream resource management using kalman filtersadaptive stream resource management using kalman filters
5390972920f70186a0dfac8a,holistic udafs at streaming speeds,"graham cormode, theodore johnson, flip korn, s muthukrishnan, oliver spatscheck, divesh srivastava",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,4,1,53e9a91ab7602d970326be48,holistic udafs at streaming speeds,"graham cormode, theodore johnson, flip korn, s muthukrishnan, oliver spatscheck, divesh srivastava",sigmod conference,2004,3428,"{'divesh srivastava', 'oliver spatscheck', 's muthukrishnan', 'graham cormode', 'theodore johnson', 'flip korn'}",6,6,1.0,5390972920f70186a0dfac8a53e9a91ab7602d970326be48holistic udafs at streaming speedsholistic udafs at streaming speeds
5390972920f70186a0dfac89,online eventdriven subsequence matching over financial data streams,"huanmei wu, betty salzberg, donghui zhang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,5,1,53e9b648b7602d97041a4473,online eventdriven subsequence matching over financial data streams,"huanmei wu, betty salzberg, donghui zhang",sigmod conference,2004,4606,"{'donghui zhang', 'huanmei wu', 'betty salzberg'}",3,3,1.0,5390972920f70186a0dfac8953e9b648b7602d97041a4473online eventdriven subsequence matching over financial data streamsonline eventdriven subsequence matching over financial data streams
5390972920f70186a0dfac91,using the structure of web sites for automatic segmentation of tables,"kristina lerman, lise getoor, steven minton, craig knoblock",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,6,1,53e9ac95b7602d970366b9bb,using the structure of web sites for automatic segmentation of tables,"kristina lerman, lise getoor, steven minton, craig a knoblock",sigmod conference,2004,4603,"{'lise getoor', 'steven minton', 'kristina lerman'}",4,4,0.9894736842105263,5390972920f70186a0dfac9153e9ac95b7602d970366b9bbusing the structure of web sites for automatic segmentation of tablesusing the structure of web sites for automatic segmentation of tables
5390972920f70186a0dfac8e,flexpath flexible structure and fulltext querying for xml,"sihem ameryahia, laks v s lakshmanan, shashank pandit",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,7,1,53e9b03db7602d9703a9bd57,flexpath flexible structure and fulltext querying for xml,"sihem ameryahia, laks v s lakshmanan, shashank pandit",sigmod conference,2004,4815,"{'sihem ameryahia', 'laks v s lakshmanan', 'shashank pandit'}",3,3,1.0,5390972920f70186a0dfac8e53e9b03db7602d9703a9bd57flexpath flexible structure and fulltext querying for xmlflexpath flexible structure and fulltext querying for xml
5390972920f70186a0dfac8f,an interactive clusteringbased approach to integrating source query interfaces on the deep web,"wensheng wu, clement yu, anhai doan, weiyi meng",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,8,1,53e9b27bb7602d9703d21ece,an interactive clusteringbased approach to integrating source query interfaces on the deep web,"wensheng wu, clement t yu, anhai doan, weiyi meng",sigmod conference,2004,4851,"{'wensheng wu', 'anhai doan', 'weiyi meng'}",4,4,0.9853658536585366,5390972920f70186a0dfac8f53e9b27bb7602d9703d21ecean interactive clusteringbased approach to integrating source query interfaces on the deep weban interactive clusteringbased approach to integrating source query interfaces on the deep web
5390972920f70186a0dfac9a,lazy query evaluation for active xml,"serge abiteboul, omar benjelloun, bogdan cautis, ioana manolescu, tova milo, nicoleta preda",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,9,1,53e99a35b7602d97022963e6,lazy query evaluation for active xml,"serge abiteboul, omar benjelloun, bogdan cautis, ioana manolescu, tova milo, nicoleta preda",sigmod conference,2004,3433,"{'omar benjelloun', 'bogdan cautis', 'nicoleta preda', 'serge abiteboul', 'ioana manolescu', 'tova milo'}",6,6,1.0,5390972920f70186a0dfac9a53e99a35b7602d97022963e6lazy query evaluation for active xmllazy query evaluation for active xml
5390972920f70186a0dfac9c,colorful xml one hierarchy isnt enough,"h v jagadish, laks v s lakshmanan, monica scannapieco, divesh srivastava, nuwee wiwatwattana",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,10,1,53e998dbb7602d97021143ef,colorful xml one hierarchy isnt enough,"h v jagadish, laks v s lakshmanan, monica scannapieco, divesh srivastava, nuwee wiwatwattana",sigmod conference,2004,4610,"{'divesh srivastava', 'laks v s lakshmanan', 'monica scannapieco', 'nuwee wiwatwattana', 'h v jagadish'}",5,5,1.0,5390972920f70186a0dfac9c53e998dbb7602d97021143efcolorful xml one hierarchy isnt enoughcolorful xml one hierarchy isnt enough
5390972920f70186a0dfac9f,effective use of blocklevel sampling in statistics estimation,"surajit chaudhuri, gautam das, utkarsh srivastava",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,11,1,53e9b03db7602d9703a9bd2e,effective use of blocklevel sampling in statistics estimation,"surajit chaudhuri, gautam das, utkarsh srivastava",sigmod conference,2004,4843,"{'gautam das', 'utkarsh srivastava', 'surajit chaudhuri'}",3,3,1.0,5390972920f70186a0dfac9f53e9b03db7602d9703a9bd2eeffective use of blocklevel sampling in statistics estimationeffective use of blocklevel sampling in statistics estimation
5390972920f70186a0dfaca4,the priority rtree a practically efficient and worstcase optimal rtree,"lars arge, mark de berg, herman j haverkort, ke yi",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,12,1,53e9b7fcb7602d97043ab826,the priority rtree a practically efficient and worstcase optimal rtree,"lars arge, mark de berg, herman j haverkort, ke yi",sigmod conference,2004,3635,"{'lars arge', 'herman j haverkort', 'ke yi', 'mark de berg'}",4,4,1.0,5390972920f70186a0dfaca453e9b7fcb7602d97043ab826the priority rtree a practically efficient and worstcase optimal rtreethe priority rtree a practically efficient and worstcase optimal rtree
