,paper ID,paper title,author names,publication venue,year of publication
0,5390972920f70186a0dfac85,the next database revolution,jlc pray,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
1,5390972920f70186a0dfac86,the role of cryptography in database security,upjt maurpr,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
2,5390972920f70186a0dfac8d,tree logical classes for efficient evaluation of xquery,"stelios paparizos, cuqing wu, laks v s lakshmanqn, h v jqghdish",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
3,5390972920f70186a0dfac88,adaptive stream resource management using kalman filters,"adkur jaino edwogd y chang, yuanfang wang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
4,5390972920f70186a0dfac8a,holistic udafs at streaming speeds,"graham cormode, theodore johnson, flip korc, b muthukrishnan, oliver spatschzck, diveah srivastava",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
5,5390972920f70186a0dfac89,online eventdriven subsequence matching over financial data streams,"huanmei wu, betzy salzberh, donghgi zhang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
6,5390972920f70186a0dfac91,using the structure of web sites for automatic segmentation of tables,"kristina eerman, lise gitoor, steven manton, craig knoblock",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
7,5390972920f70186a0dfac8e,flexpath flexible structure and fulltext querying for xml,"siheowameryahia, laks v s lakshmanan, shsshank pandxt",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
8,5390972920f70186a0dfac8f,an interactive clusteringbased approach to integrating source query interfaces on the deep web,"wwnsheng wu, cdement yu, adhai doan, weiyi meng",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
9,5390972920f70186a0dfac9a,lazy query evaluation for active xml,"serge abiteboue, omar benjelloun, bogdan cautis, ioana manolescu, tyva milo, nicoletappreda",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
10,5390972920f70186a0dfac9c,colorful xml one hierarchy isnt enough,"h v jagadish, laks v s lakshmanln, monica scannapgeco, divesh sritastava, nuwee wimatwattana",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
11,5390972920f70186a0dfac9f,effective use of blocklevel sampling in statistics estimation,"durajit chaubhuri, gautas das, uhkarsh srivastava",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
12,5390972920f70186a0dfaca4,the priority rtree a practically efficient and worstcase optimal rtree,"lars arge, mirk he berg, herman j havsrkortb ke yi",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
13,5390972920f70186a0dfaca0,online maintenance of very large random samples,"cgristopher jermaine, abhijit pol, supramafiaw arumugam",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
14,5390972920f70186a0dfaca5,integrating vertical and horizontal partitioning into automated physical database design,"sanjay aurawal, vivekynarasanya, beverjy yang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
15,5390972920f70186a0dfaca3,graph indexing a frequent structurebased approach,"xifenu yan, philip s yuodjiaweiuhan",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
16,5390972920f70186a0dfaca1,conditional selectivity for statistics on query expressions,"nicouas beuvo, surajit chavdhuri",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
17,5390972920f70186a0dfacad,computing clusters of correlation connected objects,"chgistian böhm,ykarinykailing, peer kröger, arthur zimak",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
18,5390972920f70186a0dfaca2,transaction support for indexed summary views,"goetz gragfy, michfel mwilling",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
19,5390972920f70186a0dfac99,fast computation of database operations using graphics processors,"naga k govindaraju, brandon lloyd, wei wani,yming lin, finesh manocha",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
20,5390972920f70186a0dfac9d,approximate xml query answers,"neoklis polyzhtis, minos garofadakis, zwnnis ioannidis",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
21,5390972920f70186a0dfac9e,a bilevel bernoulli scheme for database sampling,"petex jchaau, cwristian könig",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
22,5390972920f70186a0dfac92,"identifying similarities, periodicities and bursts for online search queries","michael vlachos, chrfstopher meeku zografouoa vagena, dimitrios gunopulos",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
23,5390972920f70186a0dfac98,rankaware query optimization,"ihabrf ilyas, rahul shah, walid g aref, jeffruy scott vitter, ahmed k emmagarmid",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
24,5390972920f70186a0dfac9b,data stream management for historical xml data,"sujoe bose, luonidys fqgadas",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004
