,paper ID,paper title,author names,publication venue,year of publication
0,53e9a515b7602d9702e350a0,an initial study of overheads of eddies,htel deshpanve,sigmod record,2004
1,53e9b275b7602d9703d174f6,engineering federated information systems report of efis 99 workshop,"stufan conrad, wilhelm vasselbring, uwe hohensjein, ralfdetlef kutschi, mark roantree, gunter saake, fèlix saltor",sigmod record,1999
2,53e9a5beb7602d9702eea180,information finding in a digital library the stanford perspective,"tak wzyan, hectarggaryiamolina",sigmod record,1995
3,53e99800b7602d970200b618,editors notes,ienlilek widom,sigmod record,1995
4,53e9a718b7602d970304d814,report on the 5th international workshop on the design and management of data warehouses dmdw03,"kansjoachim lenz, panosqvassiliadis, manfred a jeusfeldrfmartin staudt",sigmod record,2003
5,53e99800b7602d970200b603,editors notes,livgisin,sigmod record,2002
6,53e99e6ab7602d970272e079,report from the nsf workshop on workflow and process automation in information systems,"amip p shetg, dimitrios georgakopoulos,hstef joosten, msrek rusinkiewicz, walt scacchi, jack c wileden, alexander l wolf",sigmod record,1996
7,53e99ae6b7602d970236d5f2,tods perceptions and misconceptions,richhru a snodgrass,sigmod record,2002
8,53e9b4d4b7602d9703ff2db2,sqlmed  a status report,"jim melton, janeike michels, vanjk josifovskio krishna g kuokarni, peter m schwarz",sigmod record,2002
9,53e9b4a5b7602d9703fb2f20,2003 sigmod innovations award speech,uonald d chanberlia,sigmod record,2003
10,53e9aadfb7602d97034628ed,"jeffrey d ullman speaks out on the future of higher education, startups, database theory, and more",marfexne winsldtt,sigmod record,2001
11,53e9a7b3b7602d97030eda57,research issues for data communication in mobile adhoc network database systems,"leslie d fiye, le fruenwalq",sigmod record,2003
12,53e99809b7602d970201f8e3,chairs message,ricfard qesnodgrass,sigmod record,1998
13,53e9a515b7602d9702e363b7,an approach to confidence based page ranking for user oriented web search,"debajyoti mukhopadhyay, cebxsis giri, sanasam kanuir singh",sigmod record,2003
14,53e9bd1eb7602d97049a89a1,a comparison of three user interfaces to relational microcomputer data bases,"cavl medsker, margabet christensen, ilyedl song",sigmod record,1995
15,53e9983db7602d9702063cf1,object query standards,andrcw v wgdm,sigmod record,1996
16,53e9b991b7602d97045848ab,constraints for semistructured data and xml,"peter buweman, wenfef fan, jérôme siméon, scottqweinstesn",sigmod record,2001
17,53e99a26b7602d9702280826,database principles column  introduction,leynid libkqn,sigmod record,1999
18,53e9a743b7602d970307ad1e,report on dart 96 databases active and realtime concepts meet practice,"krithi ramambitham, nandik sopargar",sigmod record,1997
19,53e9bd8cb7602d9704a359db,a multiagent system infrastructure for software component marketplace an ontological perspective,"giza cene ardur, oguz dakenelli",sigmod record,2002
20,53e9b884b7602d97044555da,research in multiorganizational processes and semantic information brokering at the lsdis lab,"amit p sheth,mjohn a miller, krys kwchyt, ismailcew budak arpinar",sigmod record,2001
21,53e9b7cdb7602d970437bfc2,report on the second ieee metadata conference metadata 97,"ron musick, cbristovher minler 0002",sigmod record,1998
22,53e9aa48b7602d97033b72fe,introducing an annotated bibliography on temporal and evolution aspects in the world wide web,fkbio grttdz,sigmod record,2004
23,53e9ba85b7602d97046a99f2,"multiplex, fusionplex, and autoplex  three generations of information integration","agihai motvo, jacob berlin, philipp anokmin",sigmod record,2004
24,53e9b152b7602d9703bd3739,"report on the first xquery implementation, experience, and perspectives workshop ximep","ioana manoljpcu, yanpiz papakonstantinou",sigmod record,2004
25,53e9b414b7602d9703f0bd27,integrating dynamicallyfetched external information into a dbms for semistructured data,"jasonvmchugh,zjennifev widom",sigmod record,1997
26,53e9a2ebb7602d9702bf3118,wwwudk a webbased environmental metainformation system,"ralf kramer, ralf nikolyi, arnegkoschel, cloudia rolker, pewer c lockemann, andree keitel, rudolf legat, konrad zirm",sigmod record,1997
27,53e9b98ab7602d970457d0e7,from semantic integration to semantics management case studies and a way forward,"arnon rosqnthal, leonqrd j seligmnnc scott renner",sigmod record,2004
28,53e99809b7602d970201f952,chairs message,m thyvg özsu,sigmod record,2001
29,53e9b701b7602d970429aca2,videoanywhere a system for searching and managing distributed video assets,"amit p qheth, clfmens hxrtram, kshitij shah",sigmod record,1999
30,53e99d7ab7602d97026369c3,quality of service in multimedia digital libraries,"elisa bertino, ahged k elmagarmid, lohandjaid hacyd",sigmod record,2001
31,53e99b04b7602d97023955a6,reminiscences an influential papers,"kenneth a ross, msnos n garofalakisogjeffrey f naughtwn",sigmod record,2003
32,53e9b938b7602d97045251fa,database research at arizona state university,"susanidorling urban, suzanne w dwetrich, forouzanzgolshani",sigmod record,1996
33,53e9a1fab7602d9702afd7f8,"sqlj part 0, now known as sqlolb objectlanguage bindings","anfrew kisenberc, jam melton",sigmod record,1998
34,53e9b017b7602d9703a7115b,materialized views and data warehouses,ifck roushozoulos,sigmod record,1998
35,53e9ad42b7602d9703722d03,algebraic change propagation for semijoin and outerjoin queries,"timothyvgriffia, bharat kymae",sigmod record,1998
36,53e99938b7602d9702178a2d,"report on the 3rd web dynamics workshop, at www2004",mark levuyex alfxandra poulovassilis,sigmod record,2004
37,53e9b4b4b7602d9703fc8743,opportunities in information management and assurance,xipolii ciae,sigmod record,1997
38,53e99915b7602d9702153324,semantic b2b integration issues in ontologybased applications,"zhap cuia dean m jhnec, paul obrien",sigmod record,2002
39,53e99809b7602d970201f8e7,chairs message,mgtacer bzsa,sigmod record,2002
40,53e9a9f0b7602d9703359b92,evolution and change in data management  issues and directions,"john f roddick, lina aljadir, leopoldo e bertossi, marlon dumas, florida esbrella, heidi gregersen, kathleen hornsby, jens lufter, fedejica mandreoli, tomi männistö, enric mayol, lev wedemeijei",sigmod record,2000
41,53e9a906b7602d970325609c,interview c mohan speaks out,"mfrcanne wisslett, c mohtn",sigmod record,2004
42,53e9a833b7602d970317d4fd,robust key establishment in sensor networks,hongxbzwang,sigmod record,2004
43,53e99eb5b7602d970277f14a,workshop report the first international workshop on active and realtime database systems artdb95,"zikael nerndtsbon, jörgen hunsson",sigmod record,1996
44,53e9b57cb7602d97040be00a,lore a database management system for semistructured data,"jason mchugh, serge abitebzul,yroy goldman, dallan quass, tennifer widam",sigmod record,1997
45,53e9afb9b7602d9703a05ea6,on the issue of valid times in temporal databases,"stavros kokkotos, efstathios kdioannidzs, themis panayiotopoulos, constantine d lpyropoulos",sigmod record,1995
46,53e9a6c3b7602d9702ff5623,power efficient data gathering and aggregation in wireless sensor networks,"hmseyin özhürqtan, ibrahimpkorpeoglu",sigmod record,2003
47,53e9a4a3b7602d9702dc6cee,"yahiko kambayashi february 15, 1943  february 6, 2004  a tribute and personal memoirs","yoshifxmi masunagh, hatsumiqtanaka",sigmod record,2004
48,53e9b61bb7602d97041747ee,"rights of tods readers, authors and reviewers",richard tssroograss,sigmod record,2002
49,53e99853b7602d97020885ae,the new middleware,rivhyfinkenstein,sigmod record,1995
50,53e9b33db7602d9703e13425,data management for earth system science,"james frew, jefr doziem",sigmod record,1997
51,53e99ae6b7602d970236b9ef,the oasis multidatabase prototype,"mark roantree, john mqrphy, wivhelm hasseabring",sigmod record,1999
52,53e99a8cb7602d97022fffcc,clustering validity checking methods part ii,"maria halkidi, yannis jrtistakisy michalis vazirgiannis",sigmod record,2002
53,53e99800b7602d970200b601,editors notes,likxklie,sigmod record,2004
54,53e9aed1b7602d97038fac02,phoenix project faulttolerant applications,"rogar s bargy, david b lomet",sigmod record,2002
55,53e9a905b7602d9703253c45,implementing deletion in btrees,jan jkeyjnk,sigmod record,1995
56,53e99a0ab7602d970225bdc5,on the academic interview circuit an endtoend discussion,nguy çetintehfl,sigmod record,2001
57,53e9bcd2b7602d9704956f2b,issues in mechanical engineering design management,"dava hislop, hoé lacroixe gerald xoeller",sigmod record,2004
58,53e99c91b7602d97025452d2,ontologies a silver bullet for knowledge management and electronic commerce  book review,antofwo baxia,sigmod record,2002
59,53e9bb08b7602d9704743dab,mpeg7 and multimedia database systems,siraldvkosch,sigmod record,2002
60,53e9b2d2b7602d9703d831da,what will be  book review,eauo wsp jpgrefen,sigmod record,2002
61,53e99b0ab7602d970239c219,reminiscences on influential papers,"kenneth a rossbijohannes zehrke, jud rao",sigmod record,2003
62,53e9ac38b7602d97035fd442,unpacking the semantics of source and usage to perform semantic reconciliation in largescale information systems,"kenneth p smixh, leo obdst",sigmod record,1999
63,53e9ba9bb7602d97046c560f,report on first international workshop on realtime database systems,"hzer bestavros, kweijay lin, sank hyuk szn",sigmod record,1996
