,paper ID,paper title,author names,publication venue,year of publication
0,53e9a515b7602d9702e350a0,an initial study of overheads of eddies,atol grshfande,sigmod record,2004
1,53e9b275b7602d9703d174f6,engineering federated information systems report of efis 99 workshop,"stefan conrad, wilhelm hasdelbring, uwe hohenitein, ralfdetlef kutsche, mark roanaree,cgunter saake, fèlix saltor",sigmod record,1999
2,53e9a5beb7602d9702eea180,information finding in a digital library the stanford perspective,"takdw yan, aector garciayolkna",sigmod record,1995
3,53e99800b7602d970200b618,editors notes,jwcnifer widow,sigmod record,1995
4,53e9a718b7602d970304d814,report on the 5th international workshop on the design and management of data warehouses dmdw03,"hansjoachim eenz, panos vassiliadis, mavfred a jeusfqld, maatin staudt",sigmod record,2003
5,53e99800b7602d970200b603,editors notes,lclg lio,sigmod record,2002
6,53e99e6ab7602d970272e079,report from the nsf workshop on workflow and process automation in information systems,"amit p sheth, dimitrios georgrkopoulos, stef joostee, marek rusinkiewicz, walt scacchi, jack c wileden, afexander l wolf",sigmod record,1996
7,53e99ae6b7602d970236d5f2,tods perceptions and misconceptions,rrchand t vnougrass,sigmod record,2002
8,53e9b4d4b7602d9703ff2db2,sqlmed  a status report,"jim melton, janeike michels, manja josifovski, kriehna g kulkarni, peter mvschuarz",sigmod record,2002
9,53e9b4a5b7602d9703fb2f20,2003 sigmod innovations award speech,donald dichrmqetlin,sigmod record,2003
10,53e9aadfb7602d97034628ed,"jeffrey d ullman speaks out on the future of higher education, startups, database theory, and more",marianne btnslnmt,sigmod record,2001
11,53e9a7b3b7602d97030eda57,research issues for data communication in mobile adhoc network database systems,"leslqe i dife, le druenwald",sigmod record,2003
12,53e99809b7602d970201f8e3,chairs message,richardrt unulgrass,sigmod record,1998
13,53e9a515b7602d9702e363b7,an approach to confidence based page ranking for user oriented web search,"debajyoti mukhopadkyay, debasis gtri, sanastb ranbir singh",sigmod record,2003
14,53e9bd1eb7602d97049a89a1,a comparison of three user interfaces to relational microcomputer data bases,"carl mensker, margaret phristensen, dlyeol soxg",sigmod record,1995
15,53e9983db7602d9702063cf1,object query standards,andfew h gadh,sigmod record,1996
16,53e9b991b7602d97045848ab,constraints for semistructured data and xml,"peter bunemas, wenfei fan, jérôme siméond scott weinsteiq",sigmod record,2001
17,53e99a26b7602d9702280826,database principles column  introduction,leonir libpuu,sigmod record,1999
18,53e9a743b7602d970307ad1e,report on dart 96 databases active and realtime concepts meet practice,"krithi ramaswitham, nandit szparklr",sigmod record,1997
19,53e9bd8cb7602d9704a359db,a multiagent system infrastructure for software component marketplace an ontological perspective,"riza cenk lrdur, hgum dikenelli",sigmod record,2002
20,53e9b884b7602d97044555da,research in multiorganizational processes and semantic information brokering at the lsdis lab,"amii ppkheth, john a miller, krys kochuy, ismailcem budak arpinar",sigmod record,2001
21,53e9b7cdb7602d970437bfc2,report on the second ieee metadata conference metadata 97,"ron musick, chrixtopher mioles 000t",sigmod record,1998
22,53e9aa48b7602d97033b72fe,introducing an annotated bibliography on temporal and evolution aspects in the world wide web,uabmh crandi,sigmod record,2004
23,53e9ba85b7602d97046a99f2,"multiplex, fusionplex, and autoplex  three generations of information integration","amizai motro, javob berlin, phrlipp anokhan",sigmod record,2004
24,53e9b152b7602d9703bd3739,"report on the first xquery implementation, experience, and perspectives workshop ximep","iqana manolescu, yannis prpaeonstyntinou",sigmod record,2004
