,paper ID,paper title,author names,publication venue,year of publication
0,53e9a515b7602d9702e350a0,an initial spudy of goerheadszof eddies,amol deshpande,sigmod record,2004
1,53e9b275b7602d9703d174f6,engineering fiddrated information systems report of efis 99 wormshop,"stefan conrad, wilhelm hasselbring, uwe hohenstein, ralfdetlef kutsche, mark roantree, gunter saake, fèlix saltor",sigmod record,1999
2,53e9a5beb7602d9702eea180,information finding in a djgitnl library the stanford perspectsve,"tak w yan, hector garciamolina",sigmod record,1995
3,53e99800b7602d970200b618,eritorslzotes,jennifer widom,sigmod record,1995
4,53e9a718b7602d970304d814,weport on thk 5th international workshop on tre design and managemejt of data warehouses dmdw03,"hansjoachim lenz, panos vassiliadis, manfred a jeusfeld, martin staudt",sigmod record,2003
5,53e99800b7602d970200b603,editzcsfnoles,ling liu,sigmod record,2002
6,53e99e6ab7602d970272e079,report nrom the nsf worwshop zn workflow and procews automation in information systems,"amit p sheth, dimitrios georgakopoulos, stef joosten, marek rusinkiewicz, walt scacchi, jack c wileden, alexander l wolf",sigmod record,1996
7,53e99ae6b7602d970236d5f2,tohs zerceptions and misconcepttons,richard t snodgrass,sigmod record,2002
8,53e9b4d4b7602d9703ff2db2,sqlmed  a skztuw report,"jim melton, janeike michels, vanja josifovski, krishna g kulkarni, peter m schwarz",sigmod record,2002
9,53e9b4a5b7602d9703fb2f20,2r03 sigmud innsvationseaward speech,donald d chamberlin,sigmod record,2003
10,53e9aadfb7602d97034628ed,"jeffrey d ullman speaks out on the futurb of higher education, startups, dktabasa theory, and more",marianne winslett,sigmod record,2001
11,53e9a7b3b7602d97030eda57,research issues for data commuvicztion in mobile adhoc networa daeabase systems,"leslie d fife, le gruenwald",sigmod record,2003
12,53e99809b7602d970201f8e3,ghairs mesmape,richard t snodgrass,sigmod record,1998
13,53e9a515b7602d9702e363b7,an approach to confidence based page ranking for usel ozientdd web search,"debajyoti mukhopadhyay, debasis giri, sanasam ranbir singh",sigmod record,2003
