paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,index_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,index_df2,similarity_score
5390972920f70186a0dfac85,the next database revolution,jim gray,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,0,53e99aecb7602d9702373cec,the next database revolution,jim gray,sigmod conference,2004,4852,1.0
5390972920f70186a0dfac86,the role of cryptography in database security,ueli maurer,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,1,53e9a018b7602d97028fcb40,the role of cryptography in database security,ueli m maurer,sigmod conference,2004,3814,0.9769230769230769
5390972920f70186a0dfac8d,tree logical classes for efficient evaluation of xquery,"stelios paparizos, yuqing wu, laks v s lakshmanan, h v jagadish",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,2,53e9a146b7602d9702a3924a,tree logical classes for efficient evaluation of xquery,"stelios paparizos, yuqing wu, laks v s lakshmanan, h v jagadish",sigmod conference,2004,4214,1.0
5390972920f70186a0dfac88,adaptive stream resource management using kalman filters,"ankur jain, edward y chang, yuanfang wang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,3,53e9a32eb7602d9702c39d26,adaptive stream resource management using kalman filters,"ankur jain, edward y chang, yuanfang wang",sigmod conference,2004,4349,1.0
5390972920f70186a0dfac8a,holistic udafs at streaming speeds,"graham cormode, theodore johnson, flip korn, s muthukrishnan, oliver spatscheck, divesh srivastava",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,4,53e9a91ab7602d970326be48,holistic udafs at streaming speeds,"graham cormode, theodore johnson, flip korn, s muthukrishnan, oliver spatscheck, divesh srivastava",sigmod conference,2004,3428,1.0
5390972920f70186a0dfac89,online eventdriven subsequence matching over financial data streams,"huanmei wu, betty salzberg, donghui zhang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,5,53e9b648b7602d97041a4473,online eventdriven subsequence matching over financial data streams,"huanmei wu, betty salzberg, donghui zhang",sigmod conference,2004,4606,1.0
5390972920f70186a0dfac91,using the structure of web sites for automatic segmentation of tables,"kristina lerman, lise getoor, steven minton, craig knoblock",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,6,53e9ac95b7602d970366b9bb,using the structure of web sites for automatic segmentation of tables,"kristina lerman, lise getoor, steven minton, craig a knoblock",sigmod conference,2004,4603,0.9894736842105263
5390972920f70186a0dfac8e,flexpath flexible structure and fulltext querying for xml,"sihem ameryahia, laks v s lakshmanan, shashank pandit",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,7,53e9b03db7602d9703a9bd57,flexpath flexible structure and fulltext querying for xml,"sihem ameryahia, laks v s lakshmanan, shashank pandit",sigmod conference,2004,4815,1.0
5390972920f70186a0dfac8f,an interactive clusteringbased approach to integrating source query interfaces on the deep web,"wensheng wu, clement yu, anhai doan, weiyi meng",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,8,53e9b27bb7602d9703d21ece,an interactive clusteringbased approach to integrating source query interfaces on the deep web,"wensheng wu, clement t yu, anhai doan, weiyi meng",sigmod conference,2004,4851,0.9853658536585366
5390972920f70186a0dfac9a,lazy query evaluation for active xml,"serge abiteboul, omar benjelloun, bogdan cautis, ioana manolescu, tova milo, nicoleta preda",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,9,53e99a35b7602d97022963e6,lazy query evaluation for active xml,"serge abiteboul, omar benjelloun, bogdan cautis, ioana manolescu, tova milo, nicoleta preda",sigmod conference,2004,3433,1.0
