paper ID,paper title,author names,publication venue,year of publication,index
5390972920f70186a0dfaca3,graph indexing a frequent structurebased approach,"xifeng yan, philip s yu, jiawei han",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,15
5390972920f70186a0dfacb7,a formal analysis of information disclosure in data exchange,"gerome miklau, dan suciu",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,26
5390972920f70186a0dface2,efficient development of data migration transformations,"paulo carreira, helena galhardas",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,62
5390972920f70186a0dfacd7,soundcompass a practical querybyhumming system normalization of scalable and shiftable timeseries data and effective subsequence generation,"naoko kosugi, yasushi sakurai, masashi morimoto",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,75
5390972920f70186a0dfacaf,implementing a scalable xml publishsubscribe system using relational database systems,"feng tian, berthold reinwald, hamid pirahesh, tobias mayr, jussi myllymaki",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,102
5390972920f70186a0dfacf7,rethinking the conference reviewing process,"michael j franklin, jennifer widom, anastassia ailamaki, philip a bernstein, david dewitt, alon halevy, zachary ives, gerhard weikum",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,108
5390972920f70186a0dfacec,querying at internet scale,"brent chun, joseph m hellerstein, ryan huebsch, shawn r jeffery, boon thau loo, sam mardanbeigi, timothy roscoe, sean rhea, scott shenker, ion stoica",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,117
5390972920f70186a0dfafa3,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,"gautam das, bing liu, philip s yu",9th acm sigmod workshop on research issues in data mining and knowledge discovery 2004 colocated with sigmodpods 2004 conference,2004,118
5390972920f70186a0dfafac,an associative classifier based on positive and negative rules,"marialuiza antonie, osmar r zaïane",proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004,119
5390972920f70186a0dfafae,discovery of ads web hosts through traffic data analysis,"v bacarella, f giannotti, m nanni, d pedreschi",proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004,120
5390972920f70186a0dfafad,cofi approach for mining frequent itemsets revisited,"mohammad elhajj, osmar r zaïane",proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004,121
5390972920f70186a0dfafa8,horizontal aggregations for building tabular data sets,carlos ordonez,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004,122
5390972920f70186a0dfafa5,iterative record linkage for cleaning and integration,"indrajit bhattacharya, lise getoor",proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004,123
5390972920f70186a0dfafa6,privacypreserving data integration and sharing,"chris clifton, murat kantarcioǧlu, anhai doan, gunther schadow, jaideep vaidya, ahmed elmagarmid, dan suciu",proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004,124
5390972920f70186a0dfafab,fptax tree structure based generalized association rule mining,"iko pramudiono, masaru kitsuregawa",proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004,125
5390972920f70186a0dfafa9,discovering spatial patterns accurately with effective noise removal,"yu qian, kang zhang",proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004,126
5390972920f70186a0dfafaa,diagonally subgraphs pattern mining,"moti cohen, ehud gudes",proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004,127
5390972920f70186a0dfafa7,mining association rules with nonuniform privacy concerns,"yi xia, yirong yang, yun chi",proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004,128
5390975920f70186a0dfc97d,querying bilevel information,"sudarshan murthy, david maier, lois delcambre",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,130
5390975920f70186a0dfc97e,visualizing and discovering web navigational patterns,"jiyang chen, lisheng sun, osmar r zaïane, randy goebel",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,131
5390975920f70186a0dfc982,semantic multicast for contentbased stream dissemination,"olga papaemmanouil, uĝur çetintemel",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,132
5390975920f70186a0dfc985,bestmatch querying from documentcentric xml,"jaap kamps, maarten marx, maarten de rijke, börkur sigurbjörnsson",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,133
5390975920f70186a0dfc98b,checking potential validity of xml documents,"ionut e iacob, alex dekhtyar, michael i dekhtyar",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,134
5390975920f70186a0dfc980,querying peertopeer networks using ptrees,"adina crainiceanu, prakash linga, johannes gehrke, jayavel shanmugasundaram",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,135
5390975920f70186a0dfc97f,one torus to rule them all multidimensional queries in p2p systems,"prasanna ganesan, beverly yang, hector garciamolina",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,136
5390975920f70186a0dfc983,twig query processing over graphstructured xml data,"zografoula vagena, mirella m moro, vassilis j tsotras",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,137
5390975920f70186a0dfc988,mining approximate functional dependencies and concept similarities to answer imprecise queries,"ullas nambiar, subbarao kambhampati",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,138
5390975920f70186a0dfc989,dtds versus xml schema a practical study,"geert jan bex, frank neven, jan van den bussche",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,139
