,paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,index_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,index_df2,similarity_score,ID,_merge
4,539087cb20f70186a0d594f1,a close look at the ifo data model,magdy s hanna,acm sigmod record,1995,658,53e9ba4eb7602d97046678f4,response to a close look at the ifo data model,"serge abiteboul, richard hull",sigmod record,1995,3070,0.5746341463414634,539087cb20f70186a0d594f153e9ba4eb7602d97046678f4,left_only
14,539087cf20f70186a0d5b528,response to a close look at the ifo data model,"serge abiteboul, richard hull",acm sigmod record,1995,682,53e9b476b7602d9703f759ba,a close look at the ifo data model,magdy s hanna,sigmod record,1995,4239,0.5746341463414634,539087cf20f70186a0d5b52853e9b476b7602d9703f759ba,left_only
32,539087cf20f70186a0d5b6f5,scheduling problems in parallel query optimization,"chandra chekuri, waqar hasan, rajeev motwani",pods 95 proceedings of the fourteenth acm sigactsigmodsigart symposium on principles of database systems,1995,708,53e9b108b7602d9703b86c7e,coloring away communication in parallel query optimization,"waqar hasan, rajeev motwani",vldb,1995,4743,0.5086720867208672,539087cf20f70186a0d5b6f553e9b108b7602d9703b86c7e,left_only
49,539087d420f70186a0d5df09,proceedings of the 1995 acm sigmod international conference on management of data,"michael carey, donovan schneider",joint acm sigmod intl conference on management of data and acm sigactsigmod sigart symposium on principles of database systems,1995,743,53e9ac54b7602d9703624c56,"proceedings of the acm sigmod international conference on management of data, paris, france, june 1318, 2004",,sigmod conference,2004,4216,0.5294117647058824,539087d420f70186a0d5df0953e9ac54b7602d9703624c56,left_only
50,539087d420f70186a0d5df09,proceedings of the 1995 acm sigmod international conference on management of data,"michael carey, donovan schneider",joint acm sigmod intl conference on management of data and acm sigactsigmod sigart symposium on principles of database systems,1995,743,53e9b3e9b7602d9703edad8e,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 36, 2002",,sigmod conference,2002,4233,0.5294117647058824,539087d420f70186a0d5df0953e9b3e9b7602d9703edad8e,left_only
56,539087d420f70186a0d5df49,fault tolerant design of multimedia servers,"steven berson, leana golubchik, richard r muntz",sigmod 95 proceedings of the 1995 acm sigmod international conference on management of data,1995,773,53e9bb01b7602d970473800e,review  fault tolerant design of multimedia servers,shahram ghandeharizadeh,acm sigmod digital review,2000,4589,0.6138461538461538,539087d420f70186a0d5df4953e9bb01b7602d970473800e,left_only
58,539087d420f70186a0d5df4f,upsizing form file server to client server architectures,corporate the access team microsoft,sigmod 95 proceedings of the 1995 acm sigmod international conference on management of data,1995,774,53e9b290b7602d9703d37092,upsizing from file server to clent server architectures,the access team,sigmod conference,1995,4847,0.5174603174603174,539087d420f70186a0d5df4f53e9b290b7602d9703d37092,left_only
74,539087d420f70186a0d5df63,orderofmagnitude advantage on tpcc through massive parallelism,charles levine,sigmod 95 proceedings of the 1995 acm sigmod international conference on management of data,1995,795,53e99940b7602d970217d9fa,orderofmagnitude advantage of tpcc though massive parallelism,charles levine,sigmod conference,1995,3931,0.6888888888888889,539087d420f70186a0d5df6353e99940b7602d970217d9fa,left_only
78,539087d420f70186a0d5df67,"workflow automation applications, technology and research",amit sheth,sigmod 95 proceedings of the 1995 acm sigmod international conference on management of data,1995,800,53e9b36cb7602d9703e4bd5c,"workflow automation applications, technology, and research tutorial",amit p sheth,sigmod conference,1995,4375,0.6913461538461538,539087d420f70186a0d5df6753e9b36cb7602d9703e4bd5c,left_only
81,539087d420f70186a0d5df6a,datamineinteractive rule discovery system,"t imielinski, a virmani",sigmod 95 proceedings of the 1995 acm sigmod international conference on management of data,1995,804,53e9ab90b7602d97035384aa,datamine  interactive rule discovery system,"tomasz imielinski, aashu virmani",sigmod conference,1995,4664,0.5352941176470588,539087d420f70186a0d5df6a53e9ab90b7602d97035384aa,left_only
83,539087d420f70186a0d5df71,design and implementation of advanced knowledge processing in the kbms krisys,"j thomas, s deßloch, n mattos",sigmod 95 proceedings of the 1995 acm sigmod international conference on management of data,1995,812,53e9b6eeb7602d9704283ccd,design and implementation of advanced knowledge processing in the kdms krisys demonstration description,"joachim thomas, stefan deßloch, nelson mendonça mattos",sigmod conference,1995,4117,0.6363636363636364,539087d420f70186a0d5df7153e9b6eeb7602d9704283ccd,left_only
87,539087d920f70186a0d5ff43,proceedings of the 1996 acm sigmod international conference on management of data,jennifer widom,joint acm sigmod international conference on management of data and acm symposium on principles of database systems,1996,827,53e9ac54b7602d9703624c56,"proceedings of the acm sigmod international conference on management of data, paris, france, june 1318, 2004",,sigmod conference,2004,4216,0.5294117647058824,539087d920f70186a0d5ff4353e9ac54b7602d9703624c56,left_only
88,539087d920f70186a0d5ff43,proceedings of the 1996 acm sigmod international conference on management of data,jennifer widom,joint acm sigmod international conference on management of data and acm symposium on principles of database systems,1996,827,53e9b3e9b7602d9703edad8e,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 36, 2002",,sigmod conference,2002,4233,0.5294117647058824,539087d920f70186a0d5ff4353e9b3e9b7602d9703edad8e,left_only
89,539087d920f70186a0d5ff6d,mining quantitative association rules in large relational tables,"ramakrishnan srikant, rakesh agrawal",sigmod 96 proceedings of the 1996 acm sigmod international conference on management of data,1996,833,53e99a62b7602d97022cf246,mining generalized association rules,"ramakrishnan srikant, rakesh agrawal",vldb,1995,4867,0.5333333333333333,539087d920f70186a0d5ff6d53e99a62b7602d97022cf246,left_only
91,539087d920f70186a0d5ff77,a teradata contentbased multimedia object manager for massively parallel architectures,"w oconnell, i t ieong, d schrader, c watson, g au, a biliris, s choo, p colin, g linderman, e panagos, j wang, t walter",sigmod 96 proceedings of the 1996 acm sigmod international conference on management of data,1996,831,53e9bc00b7602d970486107c,a contentbased multimedia server for massively parallel architectures,"william oconnell, ion tim ieong, david schrader, c watson, grace au, alexandros biliris, s choo, p colin, g linderman, euthimios panagos, j wang, t walters",sigmod conference,1996,4672,0.6401110340041638,539087d920f70186a0d5ff7753e9bc00b7602d970486107c,left_only
93,539087d920f70186a0d5ff81,hot mirroring a method of hiding parity update penalty and degradation during rebuilds for raid5,"kazuhiko mogi, masaru kitsuregawa",sigmod 96 proceedings of the 1996 acm sigmod international conference on management of data,1996,839,53e9b6e8b7602d970427713c,hot mirroring a study to hide parity upgrade penalty and degradations during rebuilds for raid5,"kazuhiko mogi, masaru kitsuregawa",sigmod conference,1996,4604,0.6499999999999999,539087d920f70186a0d5ff8153e9b6e8b7602d970427713c,left_only
94,539087d920f70186a0d5ff84,providing better support for a class of decision support queries,"sudhir g rao, antonio badia, dirk van gucht",sigmod 96 proceedings of the 1996 acm sigmod international conference on management of data,1996,841,53e9997eb7602d97021bf4ec,review  providing better support for a class of decision support queries,kenneth a ross,acm sigmod digital review,1999,4504,0.6411111111111111,539087d920f70186a0d5ff8453e9997eb7602d97021bf4ec,left_only
95,539087d920f70186a0d5ff8a,estimating alphanumeric selectivity in the presence of wildcards,"p krishnan, jeffrey scott vitter, bala iyer",sigmod 96 proceedings of the 1996 acm sigmod international conference on management of data,1996,853,53e9b6d6b7602d9704266592,review  estimating alphanumeric selectivity in the presence of wildcards,divesh srivastava,acm sigmod digital review,2000,4585,0.6273946360153255,539087d920f70186a0d5ff8a53e9b6d6b7602d9704266592,left_only
96,539087d920f70186a0d5ff91,an open abstractobject storage system,"stephen blott, lukas relly, hansjörg schek",sigmod 96 proceedings of the 1996 acm sigmod international conference on management of data,1996,867,53e9afd3b7602d9703a263db,an open storage system for abstract objects,"stephen blott, lukas relly, hansjörg schek",sigmod conference,1996,4118,0.6499999999999999,539087d920f70186a0d5ff9153e9afd3b7602d9703a263db,left_only
111,539087d920f70186a0d60e5a,combining fuzzy information from multiple systems extended abstract,ronald fagin,pods 96 proceedings of the fifteenth acm sigactsigmodsigart symposium on principles of database systems,1996,914,53e9ac2db7602d97035eea81,combining fuzzy information an overview,ronald fagin,sigmod record,2002,3600,0.51,539087d920f70186a0d60e5a53e9ac2db7602d97035eea81,left_only
127,539087dd20f70186a0d62b50,"tpcdthe challenges, issues and results",ramesh bhashyam,acm sigmod record,1996,928,53e9af81b7602d97039c4d92,"tcpd  the challenges, issues and results",ramesh bhashyam,sigmod record,1996,3405,0.7,539087dd20f70186a0d62b5053e9af81b7602d97039c4d92,left_only
139,539087dd20f70186a0d634a2,an overview of data warehousing and olap technology,"surajit chaudhuri, umeshwar dayal",acm sigmod record,1997,951,53e99ff5b7602d97028d477b,review  an overview of data warehousing and olap technology,jennifer widom,acm sigmod digital review,1999,4529,0.6222222222222221,539087dd20f70186a0d634a253e99ff5b7602d97028d477b,left_only
