,paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,index_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,index_df2,similarity_score,ID,_merge
71,539087d420f70186a0d5df69,tutorial on storage technology raid and beyond,garth a gibson,sigmod 95 proceedings of the 1995 acm sigmod international conference on management of data,1995,803,53e9b54fb7602d97040855fe,storage technology raid and beyond,garth a gibson,sigmod conference,1995,4114,0.8,539087d420f70186a0d5df6953e9b54fb7602d97040855fe,left_only
85,539087d920f70186a0d604f0,the active database management system manifesto a rulebase of adbms features,corporate actnet consortium,acm sigmod record,1996,888,53e9b91eb7602d97045093c1,actnet  the active database management system manifesto a rulebase of adbms features,,sigmod record,1996,3303,0.9166666666666666,539087d920f70186a0d604f053e9b91eb7602d97045093c1,left_only
87,539087d920f70186a0d604f2,bess object storage manager architecture overview,"alexandros biliris, euthimios panagos",acm sigmod record,1996,880,53e9b3c7b7602d9703eb19ad,the bess object storage manager architecture overview,"alexandros biliris, euthimios panagos",sigmod record,1996,3074,0.8999999999999999,539087d920f70186a0d604f253e9b3c7b7602d9703eb19ad,left_only
111,539087dd20f70186a0d6349a,uismanagement of data and services in the environmental information systems of badenwürttemberg,"wolffritz riekert, roland mayerföll, gerlinde wiest",acm sigmod record,1997,937,53e9addab7602d97037e07d4,management of data and services in the environmental information system uis of badenwürttemberg,"wolffritz riekert, roland mayerföll, gerlinde wiest",sigmod record,1997,3566,0.75,539087dd20f70186a0d6349a53e9addab7602d97037e07d4,left_only
148,539087e720f70186a0d68403,management of semistructured data,dan suciu,acm sigmod record,1997,1060,53e9a7e3b7602d9703122916,foreword management of semistructured data,dan suciu,sigmod record,1997,3225,0.8599999999999999,539087e720f70186a0d6840353e9a7e3b7602d9703122916,left_only
205,539087eb20f70186a0d6a44d,prospector a contentbased multimedia server for massively parallel architectures,"s choo, w oconnell, g linerman, h chen, k ganapathy, a biliris, e panagos, d schrader",sigmod 96 proceedings of the 1996 acm sigmod international conference on management of data,1996,1222,53e9bc00b7602d970486107c,a contentbased multimedia server for massively parallel architectures,"william oconnell, ion tim ieong, david schrader, c watson, grace au, alexandros biliris, s choo, p colin, g linderman, euthimios panagos, j wang, t walters",sigmod conference,1996,4672,0.7303854875283445,539087eb20f70186a0d6a44d53e9bc00b7602d970486107c,left_only
216,539087f320f70186a0d6f7a6,substring selectivity estimation,"h v jagadish, raymond t ng, divesh srivastava",pods 99 proceedings of the eighteenth acm sigmodsigactsigart symposium on principles of database systems,1999,1254,53e9af39b7602d9703974bd8,multidimensional substring selectivity estimation,"h v jagadish, olga kapitskaia, raymond t ng, divesh srivastava",vldb,1999,4002,0.7436440677966101,539087f320f70186a0d6f7a653e9af39b7602d9703974bd8,left_only
275,5390880220f70186a0d75f08,microsoft terraserver a spatial data warehouse,"tom barclay, jim gray, don slutz",sigmod 00 proceedings of the 2000 acm sigmod international conference on management of data,2000,1456,53e9b593b7602d97040d5b86,terraserver a spatial data warehouse,"tom barclay, donald r slutz, jim gray",sigmod conference,2000,4386,0.8250000000000001,5390880220f70186a0d75f0853e9b593b7602d97040d5b86,left_only
284,5390880220f70186a0d75f40,ldap directory services just another database application tutorial session,"shridhar shukla, anand deshpande",sigmod 00 proceedings of the 2000 acm sigmod international conference on management of data,2000,1508,53e9a4f3b7602d9702e15d07,tutorial ldap directory services  just another database application,"shridhar shukla, anand deshpande",sigmod conference,2000,4678,0.922222222222222,5390880220f70186a0d75f4053e9a4f3b7602d9702e15d07,left_only
342,5390881220f70186a0d7e31c,applying the golden rule of sampling for query estimation,"yileh wu, divyakant agrawal, amr el abbadi",sigmod 01 proceedings of the 2001 acm sigmod international conference on management of data,2001,1638,53e9a69fb7602d9702fd1482,using the golden rule of sampling for query estimation,"yileh wu, divyakant agrawal, amr el abbadi",sigmod conference,2001,4676,0.8599999999999999,5390881220f70186a0d7e31c53e9a69fb7602d9702fd1482,left_only
350,5390881220f70186a0d7e344,"sangam  a solution to support multiple data models, their mappings and maintenance","kajal t claypool, elke a rundensteiner, xin zhang, su hong, harumi kuno, wangchien lee, gail mitchell",sigmod 01 proceedings of the 2001 acm sigmod international conference on management of data,2001,1704,53e9a824b7602d970316ca62,"gangam  a solution to support multiple data models, their mappings and maintenance","kajal t claypool, elke a rundensteiner, xin zhang 0002, hong su, harumi a kuno, wangchien lee, gail mitchell",sigmod conference,2001,3426,0.8768437747819191,5390881220f70186a0d7e34453e9a824b7602d970316ca62,left_only
357,5390881220f70186a0d7e36e,standard for multimedia databases,john r smith,sigmod 01 proceedings of the 2001 acm sigmod international conference on management of data,2001,1685,53e9bb5ab7602d970479ab43,mpeg7 standard for multimedia databases,john r smith,sigmod conference,2001,3830,0.8599999999999999,5390881220f70186a0d7e36e53e9bb5ab7602d970479ab43,left_only
457,5390882d20f70186a0d8daf0,tutorial application servers and associated technologies,c mohan,proceedings of the 2002 acm sigmod international conference on management of data,2002,1840,53e9ab69b7602d970350a4e7,application servers and associated technologies,c mohan,vldb,2002,3685,0.8833333333333333,5390882d20f70186a0d8daf053e9ab69b7602d970350a4e7,left_only
594,53908a7420f70186a0da4499,"design, implementation, and performance of the lham logstructured history data access method","peter muth, patrick e oneil, achim pick, gerhard weikum",vldb 98 proceedings of the 24rd international conference on very large data bases,1998,2024,53e9bb80b7602d97047c7fc4,the lham logstructured history data access method,"peter muth, patrick e oneil, achim pick, gerhard weikum",vldb j,2000,4829,0.7083333333333333,53908a7420f70186a0da449953e9bb80b7602d97047c7fc4,left_only
675,53908a7420f70186a0da45eb,database architecture optimized for the new bottleneck memory access,"peter a boncz, stefan manegold, martin l kersten",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2111,53e9a6cab7602d9702ffb380,optimizing database architecture for the new bottleneck memory access,"stefan manegold, peter a boncz, martin l kersten",vldb j,2000,4931,0.8599999999999999,53908a7420f70186a0da45eb53e9a6cab7602d9702ffb380,left_only
689,53908a7420f70186a0da4674,multidimensional substring selectivity estimation,"h v jagadish, olga kapitskaia, raymond t ng, divesh srivastava",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2130,53e9b1a9b7602d9703c32788,onedimensional and multidimensional substring selectivity estimation,"h v jagadish, olga kapitskaia, raymond t ng, divesh srivastava",vldb j,2000,4140,0.7666666666666666,53908a7420f70186a0da467453e9b1a9b7602d9703c32788,left_only
742,53908a9620f70186a0da473b,a scalable algorithm for answering queries using views,"rachel pottinger, alon y levy",vldb 00 proceedings of the 26th international conference on very large data bases,2000,2210,53e9b746b7602d97042df7fb,minicon a scalable algorithm for answering queries using views,"rachel pottinger, alon y halevy",vldb j,2001,4045,0.8676767676767676,53908a9620f70186a0da473b53e9b746b7602d97042df7fb,left_only
766,53908a9620f70186a0da47da,an ultra highly available dbms,"sveinolaf hvasshovd, svein erik bratsberg, øystein torbjørnsen",vldb 00 proceedings of the 26th international conference on very large data bases,2000,2215,53e9b8dab7602d97044bb2df,tutorial designing an ultra highly available dbms,"svein erik bratsberg, øystein torbjørnsen",sigmod conference,2000,3634,0.7166666666666667,53908a9620f70186a0da47da53e9b8dab7602d97044bb2df,left_only
1001,53908b4920f70186a0dbabbd,onedimensional and multidimensional substring selectivity estimation,"h v jagadish, olga kapitskaia, raymond t ng, divesh srivastava",the vldb journal  the international journal on very large data bases,2000,2586,53e9af39b7602d9703974bd8,multidimensional substring selectivity estimation,"h v jagadish, olga kapitskaia, raymond t ng, divesh srivastava",vldb,1999,4002,0.7666666666666666,53908b4920f70186a0dbabbd53e9af39b7602d9703974bd8,left_only
1003,53908b4920f70186a0dbabbe,optimizing database architecture for the new bottleneck memory access,"stefan manegold, peter a boncz, martin l kersten",the vldb journal  the international journal on very large data bases,2000,2583,53e9a1b6b7602d9702aacec2,database architecture optimized for the new bottleneck memory access,"peter a boncz, stefan manegold, martin l kersten",vldb,1999,3968,0.8599999999999999,53908b4920f70186a0dbabbe53e9a1b6b7602d9702aacec2,left_only
1043,53908b4920f70186a0dbabe4,a database model for object dynamics,"m p papazoglou, b j kr228mer",the vldb journal  the international journal on very large data bases,1997,2568,53e9bc00b7602d970485ce08,erratum a database model for object dynamics,"mike p papazoglou, bernd j krämer",vldb j,1997,4167,0.7538461538461538,53908b4920f70186a0dbabe453e9bc00b7602d970485ce08,left_only
1087,53908b4920f70186a0dbb09f,guest editorial,"fabio casati, mingchien shan, dimitrios georgakopoulos",the vldb journal  the international journal on very large data bases,2001,2625,53e99a1ab7602d970226c216,eservices  guest editorial,"fabio casati, mingchien shan, dimitrios georgakopoulos",vldb j,2001,4924,0.7666666666666666,53908b4920f70186a0dbb09f53e99a1ab7602d970226c216,left_only
1097,53908b4920f70186a0dbb0aa,minicon a scalable algorithm for answering queries using views,"rachel pottinger, alon halevy",the vldb journal  the international journal on very large data bases,2001,2646,53e9ae17b7602d97038278be,a scalable algorithm for answering queries using views,"rachel pottinger, alon y levy",vldb,2000,4316,0.8494949494949494,53908b4920f70186a0dbb0aa53e9ae17b7602d97038278be,left_only
1418,5390975920f70186a0dfe2bf,report on the edbt04 workshop on database technologies for handling xml information on the web,"marco mesiti, barbara catania, giovanna guerrini, akmal chaudhri",acm sigmod record,2004,167,53e9b2dbb7602d9703d91bc7,edbt04 workshop on database technologies for handling xml information on the web,"marco mesiti, barbara catania, giovanna guerrini, akmal b chaudhri",sigmod record,2004,3520,0.9365819209039548,5390975920f70186a0dfe2bf53e9b2dbb7602d9703d91bc7,left_only
