,paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,index_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,index_df2,similarity_score,ID,_merge
67,539087d420f70186a0d5df63,orderofmagnitude advantage on tpcc through massive parallelism,charles levine,sigmod 95 proceedings of the 1995 acm sigmod international conference on management of data,1995,795,53e99940b7602d970217d9fa,orderofmagnitude advantage of tpcc though massive parallelism,charles levine,sigmod conference,1995,3931,0.6888888888888889,539087d420f70186a0d5df6353e99940b7602d970217d9fa,left_only
71,539087d420f70186a0d5df67,"workflow automation applications, technology and research",amit sheth,sigmod 95 proceedings of the 1995 acm sigmod international conference on management of data,1995,800,53e9b36cb7602d9703e4bd5c,"workflow automation applications, technology, and research tutorial",amit p sheth,sigmod conference,1995,4375,0.6913461538461538,539087d420f70186a0d5df6753e9b36cb7602d9703e4bd5c,left_only
109,539087dd20f70186a0d62b50,"tpcdthe challenges, issues and results",ramesh bhashyam,acm sigmod record,1996,928,53e9af81b7602d97039c4d92,"tcpd  the challenges, issues and results",ramesh bhashyam,sigmod record,1996,3405,0.7,539087dd20f70186a0d62b5053e9af81b7602d97039c4d92,left_only
133,539087dd20f70186a0d644d4,devise integrated querying and visual exploration of large datasets,"m livny, r ramakrishnan, k beyer, g chen, d donjerkovic, s lawande, j myllymaki, k wenger",sigmod 97 proceedings of the 1997 acm sigmod international conference on management of data,1997,984,53e998e9b7602d9702127828,devise integrated querying and visualization of large datasets,"miron livny, raghu ramakrishnan, kevin s beyer, guangshun chen, donko donjerkovic, shilpa lawande, jussi myllymaki, r kent wenger",sigmod conference,1997,4785,0.6726086956521738,539087dd20f70186a0d644d453e998e9b7602d9702127828,left_only
158,539087e720f70186a0d6840d,workshop on workflow management in scientific and engineering applicationsreport,"r mcclatchey, g vossen",acm sigmod record,1997,1066,53e9bda6b7602d9704a53431,workshop on workflow management in scientific and engineering applications  report,"richard mcclatchey, gottfried vossen",sigmod record,1997,4970,0.6669856459330143,539087e720f70186a0d6840d53e9bda6b7602d9704a53431,left_only
315,5390880d20f70186a0d7b5bd,workshop on performance and architecture of web servers,"krishna kant, prasant mohapatra",acm sigmod record,2000,1558,53e99e54b7602d97027185c1,"workshop on performance and architecture of web servers paws2000, held in conjection with sigmetrics2000","krishna kant, prasant mohapatra",sigmod record,2000,3571,0.7,5390880d20f70186a0d7b5bd53e99e54b7602d97027185c1,left_only
325,5390880d20f70186a0d7cd5f,report on the vldb workshop on technologies for eservices tes,"fabio casati, umesh dayal, mingchien shan",acm sigmod record,2000,1568,53e9ba0bb7602d970460d669,vldb workshop on technologies in eservices tes,"fabio casati, umeshwar dayal, mingchien shan",sigmod record,2000,2989,0.6859090909090908,5390880d20f70186a0d7cd5f53e9ba0bb7602d970460d669,left_only
361,5390881220f70186a0d7e35f,will database researchers have any role in data security panel session,"arnon rosenthal, klaus dittrich, jim donahue, bill maimone",sigmod 01 proceedings of the 2001 acm sigmod international conference on management of data,2001,1692,53e9b42fb7602d9703f25796,will database researchers have any role in data security panel abstract,arnon rosenthal,sigmod conference,2001,4115,0.6706060606060606,5390881220f70186a0d7e35f53e9b42fb7602d9703f25796,left_only
384,5390881720f70186a0d7ff31,reminiscences in influential papers,richard snodgrass,acm sigmod record,1998,1727,53e99b0ab7602d970239c217,reminiscences on influential papers,richard t snodgrass,sigmod record,1998,3025,0.69,5390881720f70186a0d7ff3153e99b0ab7602d970239c217,left_only
556,539089d320f70186a0d9c21e,small worlds the dynamics of networks between order and randomness,"jie wu, duncan j watts",acm sigmod record,2002,1971,53e9a217b7602d9702b1d9d0,small worlds the dynamics of networks between order and randomness  book review,jie wu 0012,sigmod record,2002,3273,0.6673333333333333,539089d320f70186a0d9c21e53e9a217b7602d9702b1d9d0,left_only
